00:20:24 outputs: 0 | orchestrator: running
00:20:29 outputs: 0 | orchestrator: running
00:20:34 outputs: 0 | orchestrator: running
00:20:39 outputs: 0 | orchestrator: running
00:20:44 outputs: 0 | orchestrator: running
00:20:49 outputs: 0 | orchestrator: running
00:20:54 outputs: 0 | orchestrator: running
00:20:59 outputs: 0 | orchestrator: running
00:21:04 outputs: 0 | orchestrator: running
00:21:09 outputs: 0 | orchestrator: running
00:21:14 outputs: 0 | orchestrator: running
00:21:19 outputs: 0 | orchestrator: running
00:21:24 outputs: 0 | orchestrator: running
00:21:29 outputs: 0 | orchestrator: running
00:21:34 outputs: 0 | orchestrator: running
00:21:39 outputs: 0 | orchestrator: running
00:21:44 outputs: 0 | orchestrator: running
00:21:49 outputs: 0 | orchestrator: running
00:21:54 outputs: 0 | orchestrator: running
00:21:59 outputs: 0 | orchestrator: running
00:22:04 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:09 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:14 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:19 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:24 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:29 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:34 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:39 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:22:44 start image 1/3: KSampler node 3 | outputs: 0 | orchestrator: running
00:22:49 start image 1/3: complete | outputs: 0 | orchestrator: running
00:22:54 start image 1/3: complete | shot 1/3: CLIPLoader node 38 | outputs: 0 | orchestrator: running
00:22:59 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:04 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:09 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:14 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:19 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:24 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:29 start image 1/3: complete | shot 1/3: CLIPTextEncode node 7 | outputs: 0 | orchestrator: running
00:23:34 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:23:39 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:23:44 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:23:49 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:23:54 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:23:59 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:04 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:09 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:14 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:19 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:24 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:29 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:34 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:39 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:44 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:49 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:54 start image 1/3: complete | shot 1/3: KSamplerAdvanced node 57 | outputs: 0 | orchestrator: running
00:24:59 start image 1/3: complete | shot 1/3: high 10% | outputs: 0 | orchestrator: running
00:25:04 start image 1/3: complete | shot 1/3: high 20% | outputs: 0 | orchestrator: running
00:25:09 start image 1/3: complete | shot 1/3: high 20% | outputs: 0 | orchestrator: running
00:25:14 start image 1/3: complete | shot 1/3: high 30% | outputs: 0 | orchestrator: running
00:25:19 start image 1/3: complete | shot 1/3: high 40% | outputs: 0 | orchestrator: running
00:25:24 start image 1/3: complete | shot 1/3: high 40% | outputs: 0 | orchestrator: running
00:25:29 start image 1/3: complete | shot 1/3: high 50% | outputs: 0 | orchestrator: running
00:25:34 start image 1/3: complete | shot 1/3: high 60% | outputs: 0 | orchestrator: running
00:25:39 start image 1/3: complete | shot 1/3: high 60% | outputs: 0 | orchestrator: running
00:25:44 start image 1/3: complete | shot 1/3: high 70% | outputs: 0 | orchestrator: running
00:25:49 start image 1/3: complete | shot 1/3: high 80% | outputs: 0 | orchestrator: running
00:25:54 start image 1/3: complete | shot 1/3: high 80% | outputs: 0 | orchestrator: running
00:25:59 start image 1/3: complete | shot 1/3: high 90% | outputs: 0 | orchestrator: running
00:26:04 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:26:09 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | Error: [Errno 111] Connection refused | orchestrator: stopped
